country,city,followers_count,has_mobile,last_seen_platform,political,langs,religion_id,alcohol,smoking,relation,sex,university,age
49.0,295.0,4957,1,7.0,8.0,2,0,3.0,3.0,4,2,1,37.90554414784394
1.0,2.0,21532,1,2.0,,0,0,,,0,2,1,34.83915126625599
1.0,2.0,4846,1,1.0,,3,167,2.0,1.0,4,2,1173072,34.039698836413415
1.0,1.0,1384,1,7.0,4.0,3,200,2.0,1.0,0,2,1,35.3264887063655
1.0,1.0,2322,1,7.0,,0,0,0.0,0.0,0,2,1,31.247091033538677
1.0,1.0,723,1,7.0,,1,0,,,0,2,2,35.03353867214237
1.0,2.0,294,1,4.0,,0,0,,,4,2,68,38.269678302532505
1.0,2.0,3210,1,4.0,4.0,4,0,0.0,4.0,4,1,81,37.878165639972615
1.0,2.0,691,1,7.0,,4,0,0.0,0.0,1,2,0,33.79876796714579
1.0,10.0,8205,1,7.0,4.0,1,200,4.0,4.0,4,2,0,37.1088295687885
1.0,2.0,1702,1,2.0,4.0,0,167,,,4,1,1,38.217659137577
1.0,2.0,1296,1,2.0,8.0,1,102,,,4,1,1,36.55852156057495
1.0,2.0,1871,1,4.0,,1,0,,,4,2,1,36.210814510609175
1.0,2.0,348,1,7.0,6.0,1,0,0.0,0.0,4,2,1,33.53867214236824
1.0,2.0,303,1,2.0,5.0,0,0,,,4,2,1,39.21697467488022
1.0,2.0,4829,1,2.0,6.0,1,0,0.0,0.0,7,1,1,35.60027378507871
1.0,2.0,869,1,2.0,,2,0,,,4,1,1,117.492128678987
9.0,208.0,2770,1,7.0,,0,0,,,4,1,1,33.12799452429842
1.0,2.0,2798,1,7.0,,0,0,0.0,0.0,4,1,1,37.86721423682409
1.0,2.0,68,1,7.0,8.0,4,0,5.0,5.0,7,2,1,36.70088980150582
1.0,2.0,386,1,4.0,,0,0,,,0,2,1,33.38535249828885
142.0,1941.0,4546,1,4.0,3.0,1,0,0.0,2.0,3,1,1,36.629705681040384
1.0,1519.0,1308,1,2.0,,1,0,0.0,0.0,1,1,1,37.29500342231349
1.0,2.0,1940,1,2.0,,4,0,0.0,0.0,4,1,236,30.562628336755647
1.0,2.0,2410,1,4.0,3.0,1,0,,,4,1,56,34.40930869267625
1.0,2.0,112,1,7.0,,1,0,,,4,2,1,34.39561943874059
1.0,99.0,4713,1,2.0,,0,0,0.0,0.0,0,2,671,31.6249144421629
1.0,2.0,122,1,7.0,,1,0,,,0,2,0,32.54209445585216
65.0,458.0,3600,1,7.0,,3,0,1.0,1.0,1,2,242,33.91375770020534
1.0,12.0,2339,1,7.0,,0,0,,,0,2,0,31.066392881587955
1.0,2.0,3259,1,7.0,,0,0,,,0,1,58,35.641341546885705
1.0,2.0,2304,1,2.0,5.0,1,102,3.0,2.0,4,2,56,30.203969883641342
1.0,2.0,1193,1,7.0,4.0,1,0,4.0,4.0,0,1,34,43.671457905544145
1.0,2.0,2946,1,4.0,,3,0,0.0,0.0,0,1,68,36.85147159479809
1.0,1.0,935,1,4.0,6.0,1,0,0.0,1.0,0,2,1173072,33.30595482546201
1.0,99.0,841,1,7.0,5.0,3,0,4.0,2.0,1,2,671,37.338809034907605
1.0,2.0,1273,1,7.0,,1,102,3.0,4.0,4,2,0,30.792607802874745
1.0,2.0,310,1,2.0,8.0,0,0,,,4,2,1,37.4757015742642
1.0,2.0,1612,1,7.0,3.0,1,0,,,0,2,56,34.379192334017795
1.0,2.0,783,1,1.0,,0,102,0.0,0.0,0,1,0,31.315537303216967
1.0,1.0,3624,1,7.0,3.0,2,102,3.0,2.0,4,2,189,30.450376454483234
1.0,2.0,816,1,4.0,8.0,0,0,,,0,1,1,32.459958932238195
1.0,2.0,219,1,7.0,3.0,2,201,3.0,2.0,1,2,56,33.96303901437371
1.0,2.0,863,1,4.0,3.0,1,0,,,4,2,1,36.2984257357974
1.0,2.0,430,1,2.0,,3,0,0.0,1.0,0,2,63,30.69678302532512
1.0,2.0,1560,0,7.0,8.0,0,0,,,1,2,1,34.06707734428473
1.0,1.0,328,1,1.0,2.0,0,0,,,4,2,759,34.959616700889804
1.0,1.0,1366,1,1.0,,2,0,,,4,2,1,36.142368240930864
1.0,2.0,1949,1,2.0,,2,0,0.0,0.0,0,2,1,34.14647501711157
1.0,2.0,1503,1,7.0,8.0,1,0,0.0,0.0,0,2,1,36.29295003422313
1.0,2.0,502,1,4.0,,1,0,,,0,1,63,37.336071184120456
1.0,95.0,3113,1,7.0,,1,102,4.0,0.0,4,2,0,35.20328542094456
1.0,2.0,12885,1,7.0,4.0,1,0,0.0,0.0,0,2,40,39.879534565366185
126.0,1926921.0,301,1,2.0,8.0,3,0,0.0,0.0,4,2,1173072,35.403148528405204
1.0,2.0,729,1,7.0,5.0,1,102,2.0,1.0,0,2,56,33.190965092402465
1.0,2.0,387,1,7.0,,2,0,0.0,0.0,4,1,47,34.220396988364136
9.0,208.0,171,1,7.0,,2,0,,,4,2,68,40.758384668035596
1.0,2.0,212,1,4.0,8.0,3,0,0.0,0.0,4,2,54,37.51403148528405
1.0,2.0,264,1,7.0,8.0,1,0,0.0,0.0,0,2,17,34.25051334702259
1.0,2.0,409,1,4.0,4.0,1,0,,,4,2,56,36.03559206023272
142.0,1941.0,450,1,7.0,,4,0,,,5,2,1,43.15947980835045
1.0,2.0,14227,1,7.0,,3,0,0.0,2.0,4,2,34,35.07734428473648
